02-Oct-2018,,,,,,,,,,,
iShares Russell 3000 ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 02, 2018",,,,,,,,,,
Total Net Assets,"$9,012,794,684.18",,,,,,,,,,
Number of Securities (excluding cash and derivatives),"3,025.00",,,,,,,,,,
Shares Outstanding,"52,300,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
KEX,KIRBY CORP,Equity,0.02,83.49,"17,805.00","1,486,539.45","1,486,539.45",Industrials,2493534,US4972661064,New York Stock Exchange Inc.
IDA,IDACORP INC,Equity,0.02,99.05,"14,972.00","1,482,976.60","1,482,976.60",Utilities,2296937,US4511071064,New York Stock Exchange Inc.
AXS,AXIS CAPITAL HOLDINGS LTD,Equity,0.02,58.43,"25,280.00","1,477,110.40","1,477,110.40",Financials,2677606,BMG0692U1099,New York Stock Exchange Inc.
SLM,SLM CORP,Equity,0.02,11.09,"133,119.00","1,476,289.71","1,476,289.71",Financials,2101967,US78442P1066,NASDAQ
NUAN,NUANCE COMMUNICATIONS INC,Equity,0.02,17.28,"85,175.00","1,471,824.00","1,471,824.00",Information Technology,2402121,US67020Y1001,NASDAQ
GRA,WR GRACE,Equity,0.02,72.25,"20,340.00","1,469,565.00","1,469,565.00",Materials,2232685,US38388F1084,New York Stock Exchange Inc.
CR,CRANE,Equity,0.02,98.84,"14,855.00","1,468,268.20","1,468,268.20",Industrials,2231897,US2243991054,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.02,21.70,"67,538.00","1,465,574.60","1,465,574.60",Financials,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
NYCB,NEW YORK COMMUNITY BANCORP INC,Equity,0.02,10.27,"142,259.00","1,460,999.93","1,460,999.93",Financials,2711656,US6494451031,New York Stock Exchange Inc.
HHC,HOWARD HUGHES CORP,Equity,0.02,123.89,"11,738.00","1,454,220.82","1,454,220.82",Real Estate,B5VR4H9,US44267D1072,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.02,13.00,"111,671.00","1,451,723.00","1,451,723.00",Financials,2548616,US5528481030,New York Stock Exchange Inc.
HIW,HIGHWOODS PROPERTIES REIT INC,Equity,0.02,46.96,"30,862.00","1,449,279.52","1,449,279.52",Real Estate,2420640,US4312841087,New York Stock Exchange Inc.
LSTR,LANDSTAR SYSTEM INC,Equity,0.02,117.93,"12,282.00","1,448,416.26","1,448,416.26",Industrials,2503994,US5150981018,NASDAQ
CASY,CASEYS GENERAL STORES INC,Equity,0.02,127.14,"11,376.00","1,446,344.64","1,446,344.64",Consumer Staples,2179414,US1475281036,NASDAQ
TOL,TOLL BROTHERS INC,Equity,0.02,33.40,"43,230.00","1,443,882.00","1,443,882.00",Consumer Discretionary,2896092,US8894781033,New York Stock Exchange Inc.
SIX,SIX FLAGS ENTERTAINMENT CORP,Equity,0.02,66.69,"21,513.00","1,434,701.97","1,434,701.97",Consumer Discretionary,B43VKB8,US83001A1025,New York Stock Exchange Inc.
BLKB,BLACKBAUD INC,Equity,0.02,97.93,"14,616.00","1,431,344.88","1,431,344.88",Information Technology,2458878,US09227Q1004,NASDAQ
WLL,WHITING PETROLEUM CORP,Equity,0.02,53.14,"26,833.00","1,425,905.62","1,425,905.62",Energy,BYWSWR0,US9663874090,New York Stock Exchange Inc.
PB,PROSPERITY BANCSHARES INC,Equity,0.02,68.64,"20,611.00","1,414,739.04","1,414,739.04",Financials,2310257,US7436061052,New York Stock Exchange Inc.
CACC,CREDIT ACCEPTANCE CORP,Equity,0.02,423.11,"3,340.00","1,413,187.40","1,413,187.40",Financials,2232050,US2253101016,NASDAQ
SRCL,STERICYCLE INC,Equity,0.02,56.09,"25,158.00","1,411,112.22","1,411,112.22",Industrials,2860826,US8589121081,NASDAQ
OLLI,OLLIES BARGAIN OUTLET HOLDINGS INC,Equity,0.02,93.61,"15,075.00","1,411,170.75","1,411,170.75",Consumer Discretionary,BZ22B38,US6811161099,NASDAQ
WTFC,WINTRUST FINANCIAL CORP,Equity,0.02,84.91,"16,525.00","1,403,137.75","1,403,137.75",Financials,2425258,US97650W1080,NASDAQ
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Equity,0.02,63.83,"21,963.00","1,401,898.29","1,401,898.29",Health Care,2248693,US4579852082,NASDAQ
LFUS,LITTELFUSE INC,Equity,0.02,193.90,"7,180.00","1,392,202.00","1,392,202.00",Information Technology,2531832,US5370081045,NASDAQ
PLNT,PLANET FITNESS INC CLASS A,Equity,0.02,51.47,"27,014.00","1,390,410.58","1,390,410.58",Consumer Discretionary,BYSFJV8,US72703H1014,New York Stock Exchange Inc.
OZK,BANK OZK,Equity,0.02,37.80,"36,636.00","1,384,840.80","1,384,840.80",Financials,BZ56Q65,US06417N1037,NASDAQ
HPT,HOSPITALITY PROPERTIES TRUST REIT,Equity,0.02,28.30,"48,869.00","1,382,992.70","1,382,992.70",Real Estate,2438966,US44106M1027,NASDAQ
UMPQ,UMPQUA HOLDINGS CORP,Equity,0.02,20.56,"67,248.00","1,382,618.88","1,382,618.88",Financials,2484389,US9042141039,NASDAQ
G,GENPACT LTD,Equity,0.02,30.27,"45,481.00","1,376,709.87","1,376,709.87",Information Technology,B23DBK6,BMG3922B1072,New York Stock Exchange Inc.
AL,AIR LEASE CORP CLASS A,Equity,0.02,45.63,"30,079.00","1,372,504.77","1,372,504.77",Industrials,B3XS562,US00912X3026,New York Stock Exchange Inc.
AGO,ASSURED GUARANTY LTD,Equity,0.02,42.42,"32,277.00","1,369,190.34","1,369,190.34",Financials,B00V7H8,BMG0585R1060,New York Stock Exchange Inc.
FGEN,FIBROGEN INC,Equity,0.02,59.07,"23,105.00","1,364,812.35","1,364,812.35",Health Care,BSDRYR8,US31572Q8087,NASDAQ
PNFP,PINNACLE FINANCIAL PARTNERS INC,Equity,0.02,59.20,"23,047.00","1,364,382.40","1,364,382.40",Financials,2675097,US72346Q1040,NASDAQ
GPK,GRAPHIC PACKAGING HOLDING,Equity,0.02,14.06,"96,384.00","1,355,159.04","1,355,159.04",Materials,B2Q8249,US3886891015,New York Stock Exchange Inc.
IBKC,IBERIABANK CORP,Equity,0.02,80.35,"16,858.00","1,354,540.30","1,354,540.30",Financials,2452450,US4508281080,NASDAQ
NFG,NATIONAL FUEL GAS,Equity,0.02,56.48,"23,984.00","1,354,616.32","1,354,616.32",Utilities,2626103,US6361801011,New York Stock Exchange Inc.
CRI,CARTERS INC,Equity,0.02,97.41,"13,885.00","1,352,537.85","1,352,537.85",Consumer Discretionary,2980939,US1462291097,New York Stock Exchange Inc.
LOGM,LOGMEIN INC,Equity,0.02,86.87,"15,570.00","1,352,565.90","1,352,565.90",Information Technology,B600J15,US54142L1098,NASDAQ
NUS,NU SKIN ENTERPRISES INC CLASS A,Equity,0.01,81.46,"16,581.00","1,350,688.26","1,350,688.26",Consumer Staples,2616870,US67018T1051,New York Stock Exchange Inc.
NVT,NVENT ELECTRIC PLC,Equity,0.01,27.00,"50,007.00","1,350,189.00","1,350,189.00",Industrials,BDVJJQ5,IE00BDVJJQ56,New York Stock Exchange Inc.
TDC,TERADATA CORP,Equity,0.01,37.36,"35,943.00","1,342,830.48","1,342,830.48",Information Technology,B247H10,US88076W1036,New York Stock Exchange Inc.
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.01,182.27,"7,365.00","1,342,418.55","1,342,418.55",Information Technology,2159267,US1271903049,New York Stock Exchange Inc.
RDN,RADIAN GROUP INC,Equity,0.01,20.15,"66,557.00","1,341,123.55","1,341,123.55",Financials,2173911,US7502361014,New York Stock Exchange Inc.
JBL,JABIL INC,Equity,0.01,27.20,"49,275.00","1,340,280.00","1,340,280.00",Information Technology,2471789,US4663131039,New York Stock Exchange Inc.
NTNX,NUTANIX INC CLASS A,Equity,0.01,41.81,"31,845.00","1,331,439.45","1,331,439.45",Information Technology,BYQBFT8,US67059N1081,NASDAQ
MKSI,MKS INSTRUMENTS INC,Equity,0.01,80.49,"16,485.00","1,326,877.65","1,326,877.65",Information Technology,2404871,US55306N1046,NASDAQ
TXRH,TEXAS ROADHOUSE INC,Equity,0.01,66.45,"19,906.00","1,322,753.70","1,322,753.70",Consumer Discretionary,B033TJ7,US8826811098,NASDAQ
S,SPRINT CORP,Equity,0.01,6.54,"201,911.00","1,320,497.94","1,320,497.94",Communication,BC4FF21,US85207U1051,New York Stock Exchange Inc.
GPT,GRAMERCY PROPERTY REIT TRUST,Equity,0.01,27.45,"47,997.00","1,317,517.65","1,317,517.65",Real Estate,BZ6F133,US3850023082,New York Stock Exchange Inc.
LSI,LIFE STORAGE INC,Equity,0.01,92.76,"14,191.00","1,316,357.16","1,316,357.16",Real Estate,BDCSFJ6,US53223X1072,New York Stock Exchange Inc.
LOXO,LOXO ONCOLOGY INC,Equity,0.01,166.17,"7,924.00","1,316,731.08","1,316,731.08",Health Care,BPCX7C2,US5488621013,NASDAQ
WWD,WOODWARD INC,Equity,0.01,79.22,"16,572.00","1,312,833.84","1,312,833.84",Industrials,2948089,US9807451037,NASDAQ
AR,ANTERO RESOURCES CORP,Equity,0.01,17.90,"72,998.00","1,306,664.20","1,306,664.20",Energy,BFD2WR8,US03674X1063,New York Stock Exchange Inc.
ASB,ASSOCIATED BANCORP,Equity,0.01,25.67,"50,755.00","1,302,880.85","1,302,880.85",Financials,2055718,US0454871056,New York Stock Exchange Inc.
ICUI,ICU MEDICAL INC,Equity,0.01,277.84,"4,691.00","1,303,347.44","1,303,347.44",Health Care,2451918,US44930G1076,NASDAQ
NSP,INSPERITY INC,Equity,0.01,115.55,"11,267.00","1,301,901.85","1,301,901.85",Industrials,2007281,US45778Q1076,New York Stock Exchange Inc.
RP,REALPAGE INC,Equity,0.01,61.06,"21,323.00","1,301,982.38","1,301,982.38",Information Technology,B4W2S29,US75606N1090,NASDAQ
BMS,BEMIS INC,Equity,0.01,47.77,"27,202.00","1,299,439.54","1,299,439.54",Materials,2090173,US0814371052,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.01,29.76,"43,626.00","1,298,309.76","1,298,309.76",Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.
PEN,PENUMBRA INC,Equity,0.01,142.57,"9,097.00","1,296,959.29","1,296,959.29",Health Care,BZ0V201,US70975L1070,New York Stock Exchange Inc.
CNDT,CONDUENT INC,Equity,0.01,21.87,"58,987.00","1,290,045.69","1,290,045.69",Information Technology,BYWLRV8,US2067871036,New York Stock Exchange Inc.
PSTG,PURE STORAGE INC CLASS A,Equity,0.01,25.86,"49,826.00","1,288,500.36","1,288,500.36",Information Technology,BYZ62T3,US74624M1027,New York Stock Exchange Inc.
ARRS,ARRIS INTERNATIONAL PLC,Equity,0.01,25.50,"50,388.00","1,284,894.00","1,284,894.00",Information Technology,BZ04Y37,GB00BZ04Y379,NASDAQ
TREX,TREX INC,Equity,0.01,74.17,"17,307.00","1,283,660.19","1,283,660.19",Industrials,2483074,US89531P1057,New York Stock Exchange Inc.
MD,MEDNAX INC,Equity,0.01,46.33,"27,620.00","1,279,634.60","1,279,634.60",Health Care,2677640,US58502B1061,New York Stock Exchange Inc.
GDOT,GREEN DOT CORP CLASS A,Equity,0.01,86.98,"14,676.00","1,276,518.48","1,276,518.48",Financials,B3WNNP3,US39304D1028,New York Stock Exchange Inc.
DLB,DOLBY LABORATORIES INC CLASS A,Equity,0.01,68.97,"18,391.00","1,268,427.27","1,268,427.27",Information Technology,B04NJM9,US25659T1079,New York Stock Exchange Inc.
EME,EMCOR GROUP INC,Equity,0.01,74.38,"17,028.00","1,266,542.64","1,266,542.64",Industrials,2474164,US29084Q1004,New York Stock Exchange Inc.
KMPR,KEMPER CORP,Equity,0.01,78.26,"16,161.00","1,264,759.86","1,264,759.86",Financials,B52KRV2,US4884011002,New York Stock Exchange Inc.
OGS,ONE GAS INC,Equity,0.01,81.64,"15,480.00","1,263,787.20","1,263,787.20",Utilities,BJ0KXV4,US68235P1084,New York Stock Exchange Inc.
COHR,COHERENT INC,Equity,0.01,173.10,"7,301.00","1,263,803.10","1,263,803.10",Information Technology,2208374,US1924791031,NASDAQ
TTD,TRADE DESK INC CLASS A,Equity,0.01,133.37,"9,461.00","1,261,813.57","1,261,813.57",Information Technology,BD8FDD1,US88339J1051,NASDAQ
INGN,INOGEN INC,Equity,0.01,237.15,"5,305.00","1,258,080.75","1,258,080.75",Health Care,BJSVLL5,US45780L1044,NASDAQ
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Equity,0.01,108.29,"11,597.00","1,255,839.13","1,255,839.13",Consumer Discretionary,B45K9N8,US57164Y1073,New York Stock Exchange Inc.
KNX,KNIGHT-SWIFT TRANSPORTATION HOLDIN,Equity,0.01,33.19,"37,827.00","1,255,478.13","1,255,478.13",Industrials,BF0LKD0,US4990491049,New York Stock Exchange Inc.
ENTG,ENTEGRIS INC,Equity,0.01,28.91,"43,360.00","1,253,537.60","1,253,537.60",Information Technology,2599700,US29362U1043,NASDAQ
THO,THOR INDUSTRIES INC,Equity,0.01,83.03,"15,051.00","1,249,684.53","1,249,684.53",Consumer Discretionary,2889876,US8851601018,New York Stock Exchange Inc.
EXP,EAGLE MATERIALS INC,Equity,0.01,85.82,"14,533.00","1,247,222.06","1,247,222.06",Materials,2191399,US26969P1084,New York Stock Exchange Inc.
ESNT,ESSENT GROUP LTD,Equity,0.01,43.31,"28,777.00","1,246,331.87","1,246,331.87",Financials,BFWGXR8,BMG3198U1027,New York Stock Exchange Inc.
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Equity,0.01,55.59,"22,397.00","1,245,049.23","1,245,049.23",Financials,B1WT4X2,US45841N1072,NASDAQ
RYN,RAYONIER REIT INC,Equity,0.01,32.80,"37,928.00","1,244,038.40","1,244,038.40",Real Estate,2473138,US7549071030,New York Stock Exchange Inc.
KDP,KEURIG DR PEPPER INC,Equity,0.01,22.83,"54,283.00","1,239,280.89","1,239,280.89",Consumer Staples,BD3W133,US49271V1008,New York Stock Exchange Inc.
PRLB,PROTO LABS INC,Equity,0.01,152.22,"8,142.00","1,239,375.24","1,239,375.24",Industrials,B6T6J81,US7437131094,New York Stock Exchange Inc.
OLN,OLIN CORP,Equity,0.01,25.37,"48,686.00","1,235,163.82","1,235,163.82",Materials,2658526,US6806652052,New York Stock Exchange Inc.
POR,PORTLAND GENERAL ELECTRIC,Equity,0.01,45.63,"27,068.00","1,235,112.84","1,235,112.84",Utilities,B125XQ6,US7365088472,New York Stock Exchange Inc.
FNB,FNB CORP,Equity,0.01,12.58,"97,962.00","1,232,361.96","1,232,361.96",Financials,2041308,US3025201019,New York Stock Exchange Inc.
SNH,SENIOR HOUSING PROPERTIES TRUST RE,Equity,0.01,17.05,"72,209.00","1,231,163.45","1,231,163.45",Real Estate,2501631,US81721M1099,NASDAQ
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.01,72.12,"17,018.00","1,227,338.16","1,227,338.16",Health Care,B5424Q0,US58471A1051,NASDAQ
CHK,CHESAPEAKE ENERGY CORP,Equity,0.01,4.52,"269,927.00","1,220,070.04","1,220,070.04",Energy,2182779,US1651671075,New York Stock Exchange Inc.
WWE,WORLD WRESTLING ENTERTAINMENT INC,Equity,0.01,91.87,"13,247.00","1,217,001.89","1,217,001.89",Communication,2503529,US98156Q1085,New York Stock Exchange Inc.
WYND,WYNDHAM DESTINATIONS INC,Equity,0.01,41.26,"29,458.00","1,215,437.08","1,215,437.08",Consumer Discretionary,B198391,US98310W1080,New York Stock Exchange Inc.
COR,CORESITE REALTY REIT CORP,Equity,0.01,109.21,"11,122.00","1,214,633.62","1,214,633.62",Real Estate,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
CDEV,CENTENNIAL RESOURCE DEVELOPMENT IN,Equity,0.01,21.95,"55,235.00","1,212,408.25","1,212,408.25",Energy,BYM4Z79,US15136A1025,NASDAQ
CNK,CINEMARK HOLDINGS INC,Equity,0.01,38.78,"31,133.00","1,207,337.74","1,207,337.74",Communication,B1W7RQ0,US17243V1026,New York Stock Exchange Inc.
NGVT,INGEVITY CORP,Equity,0.01,95.14,"12,683.00","1,206,660.62","1,206,660.62",Materials,BD4LHG4,US45688C1071,New York Stock Exchange Inc.
CLGX,CORELOGIC INC,Equity,0.01,47.85,"25,201.00","1,205,867.85","1,205,867.85",Information Technology,B5541Y2,US21871D1037,New York Stock Exchange Inc.
MMS,MAXIMUS INC,Equity,0.01,63.46,"18,968.00","1,203,709.28","1,203,709.28",Information Technology,2018669,US5779331041,New York Stock Exchange Inc.
SWX,SOUTHWEST GAS HOLDINGS INC,Equity,0.01,79.26,"15,142.00","1,200,154.92","1,200,154.92",Utilities,2831888,US8448951025,New York Stock Exchange Inc.
VVV,VALVOLINE INC,Equity,0.01,20.93,"57,292.00","1,199,121.56","1,199,121.56",Materials,BDG22J3,US92047W1018,New York Stock Exchange Inc.
FSLR,FIRST SOLAR INC,Equity,0.01,49.23,"24,327.00","1,197,618.21","1,197,618.21",Information Technology,B1HMF22,US3364331070,NASDAQ
PTEN,PATTERSON UTI ENERGY INC,Equity,0.01,17.69,"67,668.00","1,197,046.92","1,197,046.92",Energy,2672537,US7034811015,NASDAQ
EQC,EQUITY COMMONWEALTH REIT,Equity,0.01,32.38,"36,632.00","1,186,144.16","1,186,144.16",Real Estate,BPH3N63,US2946281027,New York Stock Exchange Inc.
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Equity,0.01,35.59,"33,269.00","1,184,043.71","1,184,043.71",Utilities,2415204,US4198701009,New York Stock Exchange Inc.
TWOU,2U INC,Equity,0.01,72.41,"16,350.00","1,183,903.50","1,183,903.50",Information Technology,BKWBZZ0,US90214J1016,NASDAQ
TCBI,TEXAS CAPITAL BANCSHARES INC,Equity,0.01,80.40,"14,702.00","1,182,040.80","1,182,040.80",Financials,2977209,US88224Q1076,NASDAQ
COUP,COUPA SOFTWARE INC,Equity,0.01,73.87,"15,988.00","1,181,033.56","1,181,033.56",Information Technology,BD87XR1,US22266L1061,NASDAQ
SLAB,SILICON LABORATORIES INC,Equity,0.01,91.22,"12,930.00","1,179,474.60","1,179,474.60",Information Technology,2568131,US8269191024,NASDAQ
SBRA,SABRA HEALTH CARE REIT INC,Equity,0.01,22.50,"52,351.00","1,177,897.50","1,177,897.50",Real Estate,B5NLBP6,US78573L1061,NASDAQ
AGCO,AGCO CORP,Equity,0.01,60.21,"19,548.00","1,176,985.08","1,176,985.08",Industrials,2010278,US0010841023,New York Stock Exchange Inc.
EVR,EVERCORE INC CLASS A,Equity,0.01,97.57,"12,028.00","1,173,571.96","1,173,571.96",Financials,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
NJR,NEW JERSEY RESOURCES CORP,Equity,0.01,45.80,"25,584.00","1,171,747.20","1,171,747.20",Utilities,2630513,US6460251068,New York Stock Exchange Inc.
CLF,CLEVELAND CLIFFS INC,Equity,0.01,12.58,"92,975.00","1,169,625.50","1,169,625.50",Materials,BYVZ186,US1858991011,New York Stock Exchange Inc.
APLE,APPLE HOSPITALITY REIT INC,Equity,0.01,17.24,"67,798.00","1,168,837.52","1,168,837.52",Real Estate,BXRTX56,US03784Y2000,New York Stock Exchange Inc.
VSM,VERSUM MATERIALS INC,Equity,0.01,35.97,"32,417.00","1,166,039.49","1,166,039.49",Information Technology,BD37KN1,US92532W1036,New York Stock Exchange Inc.
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Equity,0.01,85.26,"13,633.00","1,162,349.58","1,162,349.58",Real Estate,B8QV5C9,US78377T1079,New York Stock Exchange Inc.
NEWR,NEW RELIC INC,Equity,0.01,87.62,"13,273.00","1,162,980.26","1,162,980.26",Information Technology,BT6T3N7,US64829B1008,New York Stock Exchange Inc.
ASGN,ASGN INC,Equity,0.01,76.46,"15,123.00","1,156,304.58","1,156,304.58",Industrials,BFY8W20,US00191U1025,New York Stock Exchange Inc.
UAA,UNDER ARMOUR INC CLASS A,Equity,0.01,20.21,"57,218.00","1,156,375.78","1,156,375.78",Consumer Discretionary,B0PZN11,US9043111072,New York Stock Exchange Inc.
HWC,HANCOCK WHITNEY CORP,Equity,0.01,46.79,"24,698.00","1,155,619.42","1,155,619.42",Financials,2415497,US4101201097,NASDAQ
MBFI,MB FINANCIAL INC,Equity,0.01,46.12,"24,968.00","1,151,524.16","1,151,524.16",Financials,2817651,US55264U1088,NASDAQ
SIG,SIGNET JEWELERS LTD,Equity,0.01,62.96,"18,275.00","1,150,594.00","1,150,594.00",Consumer Discretionary,B3CTNK6,BMG812761002,New York Stock Exchange Inc.
LSXMA,LIBERTY MEDIA LIBERTY SIRIUSXM COR,Equity,0.01,43.05,"26,724.00","1,150,468.20","1,150,468.20",Communication,BD8QGF7,US5312294094,NASDAQ
ENDP,ENDO INTERNATIONAL PLC,Equity,0.01,17.16,"67,024.00","1,150,131.84","1,150,131.84",Health Care,BJ3V905,IE00BJ3V9050,NASDAQ
FFIN,FIRST FINANCIAL BANKSHARES INC,Equity,0.01,57.97,"19,844.00","1,150,356.68","1,150,356.68",Financials,2266026,US32020R1095,NASDAQ
LHO,LASALLE HOTEL PROPERTIES REIT,Equity,0.01,33.88,"33,817.00","1,145,719.96","1,145,719.96",Real Estate,2240161,US5179421087,New York Stock Exchange Inc.
ENS,ENERSYS,Equity,0.01,86.66,"13,142.00","1,138,885.72","1,138,885.72",Industrials,B020GQ5,US29275Y1029,New York Stock Exchange Inc.
FR,FIRST INDUSTRIAL REALTY TRUST INC,Equity,0.01,31.31,"36,389.00","1,139,339.59","1,139,339.59",Real Estate,2360757,US32054K1034,New York Stock Exchange Inc.
MSM,MSC INDUSTRIAL INC CLASS A,Equity,0.01,87.13,"13,057.00","1,137,656.41","1,137,656.41",Industrials,2567655,US5535301064,New York Stock Exchange Inc.
LPX,LOUISIANA PACIFIC CORP,Equity,0.01,26.15,"43,448.00","1,136,165.20","1,136,165.20",Materials,2535243,US5463471053,New York Stock Exchange Inc.
AGIO,AGIOS PHARMACEUTICALS INC,Equity,0.01,74.14,"15,330.00","1,136,566.20","1,136,566.20",Health Care,BCBVTX1,US00847X1046,NASDAQ
AAN,AARONS INC,Equity,0.01,53.69,"21,152.00","1,135,650.88","1,135,650.88",Consumer Discretionary,2002918,US0025353006,New York Stock Exchange Inc.
TCF,TCF FINANCIAL CORP,Equity,0.01,23.48,"48,227.00","1,132,369.96","1,132,369.96",Financials,2868455,US8722751026,New York Stock Exchange Inc.
JBGS,JBG SMITH PROPERTIES,Equity,0.01,36.63,"30,914.00","1,132,379.82","1,132,379.82",Real Estate,BD3BX01,US46590V1008,New York Stock Exchange Inc.
CABO,CABLE ONE INC,Equity,0.01,877.77,"1,288.00","1,130,567.76","1,130,567.76",Communication,BZ07DS4,US12685J1051,New York Stock Exchange Inc.
CBT,CABOT CORP,Equity,0.01,63.29,"17,836.00","1,128,840.44","1,128,840.44",Materials,2162500,US1270551013,New York Stock Exchange Inc.
RLJ,RLJ LODGING TRUST REIT TRUST,Equity,0.01,21.61,"52,276.00","1,129,684.36","1,129,684.36",Real Estate,B3PY1N7,US74965L1017,New York Stock Exchange Inc.
OAS,OASIS PETROLEUM INC,Equity,0.01,14.13,"79,836.00","1,128,082.68","1,128,082.68",Energy,B64R5J2,US6742151086,New York Stock Exchange Inc.
JBT,JOHN BEAN TECHNOLOGIES CORP,Equity,0.01,115.60,"9,762.00","1,128,487.20","1,128,487.20",Industrials,B3BRJZ8,US4778391049,New York Stock Exchange Inc.
ALE,ALLETE INC,Equity,0.01,75.26,"14,950.00","1,125,137.00","1,125,137.00",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
STAY,EXTENDED STAY AMERICA UNITS INC,Equity,0.01,19.62,"57,265.00","1,123,539.30","1,123,539.30",Consumer Discretionary,BGH3F75,US30224P2002,NASDAQ
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Equity,0.01,33.26,"33,727.00","1,121,760.02","1,121,760.02",Financials,B94QHZ0,US09257W1009,New York Stock Exchange Inc.
GMED,GLOBUS MEDICAL INC CLASS A,Equity,0.01,53.48,"20,975.00","1,121,743.00","1,121,743.00",Health Care,B7D65M0,US3795772082,New York Stock Exchange Inc.
RBC,REGAL BELOIT CORP,Equity,0.01,83.05,"13,508.00","1,121,839.40","1,121,839.40",Industrials,2730082,US7587501039,New York Stock Exchange Inc.
RAMP,LIVERAMP HOLDINGS INC,Equity,0.01,46.69,"23,983.00","1,119,766.27","1,119,766.27",Information Technology,BGLN838,US53815P1084,New York Stock Exchange Inc.
SMTC,SEMTECH CORP,Equity,0.01,54.50,"20,480.00","1,116,160.00","1,116,160.00",Information Technology,2795542,US8168501018,NASDAQ
NVCR,NOVOCURE LTD,Equity,0.01,51.82,"21,516.00","1,114,959.12","1,114,959.12",Health Care,BYSS4X4,JE00BYSS4X48,NASDAQ
YELP,YELP INC,Equity,0.01,47.50,"23,453.00","1,114,017.50","1,114,017.50",Communication,B7KCD72,US9858171054,New York Stock Exchange Inc.
AAXN,AXON ENTERPRISE INC,Equity,0.01,64.23,"17,334.00","1,113,362.82","1,113,362.82",Industrials,BDT5S35,US05464C1018,NASDAQ
JCOM,J2 GLOBAL INC,Equity,0.01,79.41,"13,981.00","1,110,231.21","1,110,231.21",Information Technology,B75DGJ3,US48123V1026,NASDAQ
STMP,STAMPS.COM INC,Equity,0.01,212.93,"5,207.00","1,108,726.51","1,108,726.51",Consumer Discretionary,B013D75,US8528572006,NASDAQ
PRSP,PERSPECTA INC,Equity,0.01,25.66,"43,112.00","1,106,253.92","1,106,253.92",Information Technology,BZ5YFM8,US7153471005,New York Stock Exchange Inc.
TWO,TWO HARBORS INVESTMENT REIT CORP,Equity,0.01,14.92,"74,083.00","1,105,318.36","1,105,318.36",Financials,BD832H2,US90187B4086,New York Stock Exchange Inc.
RARE,ULTRAGENYX PHARMACEUTICAL INC,Equity,0.01,76.61,"14,418.00","1,104,562.98","1,104,562.98",Health Care,BJ62Z18,US90400D1081,NASDAQ
BKU,BANKUNITED INC,Equity,0.01,34.84,"31,652.00","1,102,755.68","1,102,755.68",Financials,B3NNTZ4,US06652K1034,New York Stock Exchange Inc.
HEI,HEICO CORP,Equity,0.01,91.59,"12,034.00","1,102,194.06","1,102,194.06",Industrials,2419217,US4228061093,New York Stock Exchange Inc.
TTEK,TETRA TECH INC,Equity,0.01,67.78,"16,248.00","1,101,289.44","1,101,289.44",Industrials,2883890,US88162G1031,NASDAQ
CHFC,CHEMICAL FINANCIAL CORP,Equity,0.01,52.34,"21,026.00","1,100,500.84","1,100,500.84",Financials,2190277,US1637311028,NASDAQ
SM,SM ENERGY,Equity,0.01,32.41,"33,904.00","1,098,828.64","1,098,828.64",Energy,2764188,US78454L1008,New York Stock Exchange Inc.
MIC,MACQUARIE INFRASTRUCTURE CORP,Equity,0.01,45.51,"24,077.00","1,095,744.27","1,095,744.27",Industrials,B1Z4VB1,US55608B1052,New York Stock Exchange Inc.
ATI,ALLEGHENY TECHNOLOGIES INC,Equity,0.01,29.29,"37,391.00","1,095,182.39","1,095,182.39",Materials,2526117,US01741R1023,New York Stock Exchange Inc.
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Equity,0.01,450.39,"2,426.00","1,092,646.14","1,092,646.14",Financials,2355582,US31946M1036,NASDAQ
KMT,KENNAMETAL INC,Equity,0.01,43.28,"25,180.00","1,089,790.40","1,089,790.40",Industrials,2488121,US4891701009,New York Stock Exchange Inc.
RRC,RANGE RESOURCES CORP,Equity,0.01,17.29,"62,982.00","1,088,958.78","1,088,958.78",Energy,2523334,US75281A1097,New York Stock Exchange Inc.
